exchange,stock_symbol,date,dividends
NASDAQ,AMTD,1/25/2006,6
NASDAQ,AHGP,11/9/2009,0.44
NASDAQ,AHGP,8/10/2009,0.428
NASDAQ,AHGP,5/11/2009,0.415
NASDAQ,AHGP,2/10/2009,0.403
NASDAQ,AHGP,11/7/2008,0.39
NASDAQ,AHGP,8/8/2008,0.353
NASDAQ,AHGP,5/9/2008,0.288
NASDAQ,AHGP,2/8/2008,0.288
NASDAQ,AHGP,11/7/2007,0.265
NASDAQ,AHGP,8/8/2007,0.265
NASDAQ,AHGP,5/9/2007,0.25
NASDAQ,AHGP,2/7/2007,0.25
NASDAQ,AHGP,11/7/2006,0.215
NASDAQ,AHGP,8/9/2006,0.215
NASDAQ,ALEX,11/3/2009,0.315
NASDAQ,ALEX,8/4/2009,0.315
NASDAQ,ALEX,5/12/2009,0.315
NASDAQ,ALEX,2/11/2009,0.315
NASDAQ,ALEX,11/4/2008,0.315
NASDAQ,AFCE,6/6/2005,12
NASDAQ,ASRVP,12/28/2009,0.528
NASDAQ,ASRVP,9/25/2009,0.528
NASDAQ,ASRVP,6/25/2009,0.528
NASDAQ,ASRVP,3/26/2009,0.528
NASDAQ,ASRVP,12/26/2008,0.528
NASDAQ,ASRVP,9/25/2008,0.528
NASDAQ,ASRVP,6/25/2008,0.528
NASDAQ,ASRVP,3/26/2008,0.528
NASDAQ,ASRVP,12/26/2007,0.528
NASDAQ,ASRVP,9/26/2007,0.528
NASDAQ,ASRVP,6/27/2007,0.528
NASDAQ,ASRVP,3/28/2007,0.528
NASDAQ,ASRVP,12/26/2006,0.528
NASDAQ,ASRVP,9/27/2006,0.528
NASDAQ,ASRVP,6/28/2006,0.528
NASDAQ,ASRVP,3/28/2006,0.528
NASDAQ,ASRVP,12/28/2005,0.528
NASDAQ,ASRVP,9/27/2005,0.528
NASDAQ,ASRVP,6/27/2005,0.528
NASDAQ,ASRVP,3/28/2005,0.528
NASDAQ,ASRVP,12/28/2004,0.528
NASDAQ,ASRVP,9/27/2004,0.528
NASDAQ,ASRVP,6/25/2004,0.528
NASDAQ,ASRVP,3/26/2004,0.528
NASDAQ,ASRVP,12/26/2003,0.528
NASDAQ,ASRVP,9/25/2003,0.528
NASDAQ,ASRVP,6/25/2003,0.528
NASDAQ,ASRVP,3/26/2003,0.528
NASDAQ,ASRVP,12/26/2002,0.528
NASDAQ,ASRVP,9/25/2002,0.528
NASDAQ,ASRVP,6/26/2002,0.528
NASDAQ,ASRVP,3/26/2002,0.528
NASDAQ,ASRVP,12/26/2001,0.528
NASDAQ,ASRVP,9/26/2001,0.528
NASDAQ,ASRVP,6/27/2001,0.528
NASDAQ,ASRVP,3/28/2001,0.528
NASDAQ,ASRVP,12/27/2000,0.528
NASDAQ,ASRVP,9/27/2000,0.528
NASDAQ,ASRVP,6/27/2000,0.528
NASDAQ,ASRVP,3/28/2000,0.528
NASDAQ,ASRVP,12/28/1999,0.528
NASDAQ,ASRVP,9/28/1999,0.528
NASDAQ,ACXM,8/19/2008,0.06
NASDAQ,ACXM,5/30/2008,0.06
NASDAQ,ACXM,2/21/2008,0.06
NASDAQ,ACXM,11/1/2007,0.06
NASDAQ,ACXM,2/8/2007,0.06
NASDAQ,ACXM,11/9/2006,0.06
NASDAQ,ACXM,8/10/2006,0.05
NASDAQ,ACXM,6/8/2006,0.05
NASDAQ,ACXM,2/15/2006,0.05
NASDAQ,ACXM,11/9/2005,0.05
NASDAQ,ACXM,8/11/2005,0.05
NASDAQ,ACXM,6/2/2005,0.05
NASDAQ,ACXM,2/10/2005,0.05
NASDAQ,ACXM,11/4/2004,0.04
NASDAQ,ACXM,8/5/2004,0.04
NASDAQ,ACXM,6/3/2004,0.04
NASDAQ,ACXM,2/11/2004,0.04
NASDAQ,ASFN,7/30/2008,0.03
NASDAQ,ASFN,4/29/2008,0.03
NASDAQ,ASFN,1/30/2008,0.03
NASDAQ,AMFI,8/28/2008,0.185
NASDAQ,AMFI,8/12/2008,0.051
NASDAQ,AMFI,5/28/2008,0.185
NASDAQ,AMFI,2/27/2008,0.185
NASDAQ,AMFI,11/28/2007,0.185
NASDAQ,AMFI,8/29/2007,0.185
NASDAQ,AMFI,5/30/2007,0.185
NASDAQ,AMFI,2/27/2007,0.185
NASDAQ,AMFI,11/29/2006,0.185
NASDAQ,AMFI,8/30/2006,0.185
NASDAQ,AMFI,5/30/2006,0.185
NASDAQ,AMFI,2/27/2006,0.185
NASDAQ,AMFI,11/29/2005,0.17
NASDAQ,AMFI,8/30/2005,0.17
NASDAQ,AMFI,5/27/2005,0.17
NASDAQ,AMFI,2/25/2005,0.17
NASDAQ,AMFI,11/29/2004,0.17
NASDAQ,AMFI,8/30/2004,0.17
NASDAQ,AMFI,5/27/2004,0.17
NASDAQ,AMFI,2/26/2004,0.17
NASDAQ,AMFI,11/26/2003,0.17
NASDAQ,AMFI,8/28/2003,0.17
NASDAQ,AMFI,5/29/2003,0.16
NASDAQ,AMFI,2/27/2003,0.16
NASDAQ,AMFI,11/27/2002,0.16
NASDAQ,AMFI,8/29/2002,0.16
NASDAQ,AMFI,5/30/2002,0.16
NASDAQ,AMFI,2/27/2002,0.16
NASDAQ,AMFI,11/29/2001,0.16
NASDAQ,AMFI,8/29/2001,0.16
NASDAQ,AMFI,5/30/2001,0.16
NASDAQ,AMFI,2/23/2001,0.16
NASDAQ,AMFI,11/29/2000,0.16
NASDAQ,AMFI,8/30/2000,0.16
NASDAQ,AMFI,5/31/2000,0.16
NASDAQ,AMFI,3/1/2000,0.16
NASDAQ,AMFI,12/1/1999,0.14
NASDAQ,AMFI,9/1/1999,0.14
NASDAQ,AMFI,6/2/1999,0.14
NASDAQ,AMFI,3/2/1999,0.14
NASDAQ,AMFI,12/2/1998,0.14
NASDAQ,AMFI,9/2/1998,0.14
NASDAQ,AMFI,6/2/1998,0.14
NASDAQ,AMFI,3/2/1998,0.12
NASDAQ,AMFI,12/2/1997,0.12
NASDAQ,AMFI,9/3/1997,0.12
NASDAQ,AMFI,6/3/1997,0.10667
NASDAQ,AMFI,3/4/1997,0.10667
NASDAQ,AMFI,12/3/1996,0.10667
NASDAQ,AMFI,9/4/1996,0.10667
NASDAQ,AMFI,6/4/1996,0.10667
NASDAQ,AMFI,3/4/1996,0.10667
NASDAQ,AMFI,11/22/1995,0.1
NASDAQ,AMFI,9/5/1995,0.1
NASDAQ,AMFI,5/24/1995,0.1
NASDAQ,AMFI,2/22/1995,0.1
NASDAQ,AMFI,11/21/1994,0.1
NASDAQ,AMFI,9/2/1994,0.1
NASDAQ,AMFI,5/24/1994,0.09
NASDAQ,AMFI,2/22/1994,0.09
NASDAQ,AMFI,11/23/1993,0.08
NASDAQ,AMFI,8/25/1993,0.08
NASDAQ,AMFI,5/24/1993,0.07111
NASDAQ,AMFI,2/22/1993,0.07111
NASDAQ,AMFI,11/23/1992,0.07111
NASDAQ,AMFI,8/25/1992,0.06222
NASDAQ,AMFI,5/22/1992,0.06222
NASDAQ,AMFI,5/11/1992,0.87778
NASDAQ,AMFI,2/24/1992,0.06222
NASDAQ,AMFI,11/22/1991,0.06222
NASDAQ,AMFI,8/26/1991,0.06222
NASDAQ,AMFI,5/24/1991,0.06222
NASDAQ,AMFI,2/22/1991,0.05555
NASDAQ,AMFI,11/26/1990,0.05555
NASDAQ,AMFI,8/27/1990,0.05555
NASDAQ,AMFI,5/24/1990,0.05555
NASDAQ,AMFI,3/6/1990,0.05555
NASDAQ,AMFI,11/30/1989,0.05555
NASDAQ,AMFI,8/29/1989,0.05555
NASDAQ,AMFI,5/24/1989,0.05555
NASDAQ,AMFI,2/22/1989,0.05555
NASDAQ,AMFI,11/23/1988,0.04889
NASDAQ,AMFI,8/26/1988,0.04445
NASDAQ,AMFI,5/24/1988,0.04445
NASDAQ,AMFI,2/23/1988,0.04445
NASDAQ,AMFI,11/21/1986,0.04
NASDAQ,AMFI,8/26/1986,0.04
NASDAQ,AMFI,6/3/1986,0.02
NASDAQ,AMPL,12/13/1995,0.21
NASDAQ,APFC,12/24/2003,0.105
NASDAQ,AMNB,12/2/2009,0.23
NASDAQ,AMNB,9/2/2009,0.23
NASDAQ,AMNB,6/3/2009,0.23
NASDAQ,AMNB,3/4/2009,0.23
NASDAQ,AMNB,12/3/2008,0.23
NASDAQ,AMNB,9/3/2008,0.23
NASDAQ,AMNB,6/4/2008,0.23
NASDAQ,AMNB,3/5/2008,0.23
NASDAQ,AMNB,12/5/2007,0.23
NASDAQ,AMNB,9/5/2007,0.23
NASDAQ,AMNB,6/6/2007,0.23
NASDAQ,AMNB,3/5/2007,0.22
NASDAQ,AMNB,12/4/2006,0.22
NASDAQ,AMNB,9/6/2006,0.22
NASDAQ,AMNB,6/7/2006,0.22
NASDAQ,AMNB,3/8/2006,0.21
NASDAQ,AMNB,11/30/2005,0.21
NASDAQ,AMNB,9/7/2005,0.21
NASDAQ,AMNB,6/8/2005,0.21
NASDAQ,AMNB,3/9/2005,0.2
NASDAQ,AMNB,12/1/2004,0.2
NASDAQ,AMNB,9/8/2004,0.2
NASDAQ,AMNB,6/9/2004,0.2
NASDAQ,AMNB,3/8/2004,0.19
NASDAQ,AMNB,12/3/2003,0.19
NASDAQ,AMNB,9/3/2003,0.19
NASDAQ,AMNB,6/4/2003,0.19
NASDAQ,AMNB,3/5/2003,0.18
NASDAQ,AMNB,12/4/2002,0.18
NASDAQ,AMNB,9/4/2002,0.18
NASDAQ,AMNB,6/5/2002,0.18
NASDAQ,AMNB,3/6/2002,0.17
NASDAQ,AMNB,12/5/2001,0.17
NASDAQ,AMNB,9/5/2001,0.17
NASDAQ,AMNB,6/6/2001,0.17
NASDAQ,AMNB,3/7/2001,0.15
NASDAQ,AMNB,12/6/2000,0.15
NASDAQ,AMNB,9/6/2000,0.15
NASDAQ,AMNB,6/7/2000,0.15
NASDAQ,AMNB,3/8/2000,0.135
NASDAQ,AMNB,12/1/1999,0.135
NASDAQ,AMNB,9/8/1999,0.135
NASDAQ,AMNB,6/9/1999,0.135
NASDAQ,ABCB,6/26/2009,0.04962
NASDAQ,ABCB,3/27/2009,0.04962
NASDAQ,ABCB,12/24/2008,0.04962
NASDAQ,ABCB,9/26/2008,0.04962
NASDAQ,ABCB,6/26/2008,0.13893
NASDAQ,ABCB,3/27/2008,0.13893
NASDAQ,ABCB,12/27/2007,0.13893
NASDAQ,ABCB,9/26/2007,0.13893
NASDAQ,ABCB,6/27/2007,0.13893
NASDAQ,ABCB,3/28/2007,0.13893
NASDAQ,ABCB,12/26/2006,0.13893
NASDAQ,ABCB,9/27/2006,0.13893
NASDAQ,ABCB,6/28/2006,0.13893
NASDAQ,ABCB,3/29/2006,0.13893
NASDAQ,ABCB,12/28/2005,0.13893
NASDAQ,ABCB,9/28/2005,0.13893
NASDAQ,ABCB,6/28/2005,0.13893
NASDAQ,ABCB,3/29/2005,0.13893
NASDAQ,ABCB,12/29/2004,0.11578
NASDAQ,ABCB,9/28/2004,0.11578
NASDAQ,ABCB,6/28/2004,0.11578
NASDAQ,ABCB,3/29/2004,0.11578
NASDAQ,ABCB,12/29/2003,0.11578
NASDAQ,ABCB,9/26/2003,0.11578
NASDAQ,ABCB,6/26/2003,0.09924
NASDAQ,ABCB,3/27/2003,0.09924
NASDAQ,ABCB,12/27/2002,0.09924
NASDAQ,ABCB,9/26/2002,0.09924
NASDAQ,ABCB,7/1/2002,0.09924
NASDAQ,ABCB,3/26/2002,0.09924
NASDAQ,ABCB,12/27/2001,0.09924
NASDAQ,ABCB,9/26/2001,0.09924
NASDAQ,ABCB,6/27/2001,0.09924
NASDAQ,ABCB,3/28/2001,0.09924
NASDAQ,ABCB,12/27/2000,0.09924
NASDAQ,ABCB,9/29/2000,0.09924
NASDAQ,ABCB,6/28/2000,0.09924
NASDAQ,ABCB,3/29/2000,0.08269
NASDAQ,ABCB,12/29/1999,0.08269
NASDAQ,ABCB,9/28/1999,0.06891
